"Title","By","FictionOrNon","Subjects","Height","Width","Depth","Shelf","From","Scans","BackedUp","CroppedP2","Notes","boxNumber","rowIndex","bookIndex"
"Great By Choice","Collins and Hansen","NF","Business",23.6,2.7,15.8,"o3d","Gareth","","","","",49,1,16
"How to Speak Dog","Stanley Coren","NF","Dogs",21.2,1.9,13.8,"o1c","Gareth","","","","",49,1,17
"Linnés Hammarby","Svenska Linnésällskapet","TODO","TODO, Norwegian?",19.9,0.3,13.5,"o5d","Schipper Estate","","","","",49,1,18
"The Ford Sunday Evening Hour Talks","W. J. Cameron","NF","History",18.8,0.7,12,"o5d","Schipper Estate","","","","",49,1,19
"Spring is a New Beginning","Joan Walsh Anglund","NF","Children",17,0.8,11,"o5c","Schipper Estate","","","","",49,1,20
"Huntington, Then and Now, 1900-2007","Leonard Totora, Jr.","NF","History",22.8,0.4,21.5,"o4f","Schipper Estate","","","","",9,0,0
"She Tought Me To Eat Artichokes","Mary Kay Sheley","F","Fiction",23.5,0.8,19.7,"f2e","Fields","","","","",9,0,1
"Only Connect","Michelle Hilms","NF","Film and Media",23.5,1.5,19,"o1b","Gareth","","","","",9,0,2
"C++ Programming Style","Tom Cargill","NF","Computer Science",23.5,1.8,18.8,"o1e","Fields","","","","",9,0,3
"A History of the Modern World, to 1815","R. R. Palmer and Joel Colton","NF","History",23.5,2.3,18.7,"o5e","Schipper Estate","","","","",9,0,4
"Learning React","Alex Banks and Eve Porcello","NF","Computer Science",23.5,1.9,18,"o1e","Gareth","","","","",9,0,5
"Implementing Lean Software Development","Mary and Tom Poppendieck","NF","Computer Science",23.5,1.7,17.9,"o1e","Fields","","","","",9,0,6
"Green Eggs and Ham","Dr. Seuss","F","Children",23.5,1.1,17.4,"o5f","Schipper Estate","","","","",9,0,7
"Fox in Soxs","Dr. Seuss","F","Children",23.5,1.2,17,"o5f","Schipper Estate","","","","",9,0,8
"The Cat in the Hat (1)","Dr. Seuss","F","Children",23.5,1.2,17,"o5f","Schipper Estate","","","","",9,0,9
"The Cat in the Hat (2)","Dr. Seuss","F","Children",23.5,1.2,17,"o5f","Schipper Estate","","","","",9,0,10
"The Cat in the Hat Comes Back","Dr. Seuss","F","Children",23.5,1.1,17,"o5f","Schipper Estate","","","","",9,0,11
"Network Analysis, Second Edition","M. E. Van Valkenburg","NF","Electrical Engineering",23.5,3,16.4,"o1e","Fields","","","","",9,0,12
"The Theory of Parsing, Translation, and Compiling, Volume 2","Alfred V. Aho and Jeffery D. Ullman","NF","Computer Science",23.5,2.9,16.2,"o1f","Fields","","","","",9,0,13
"The Pirates","Charles Ellms","NF","Sailing",23.5,2.5,16.2,"f2e","Fields","","","","",9,0,14
"Harry Potter and the Chamber of Secrets","J. K. Rowling","F","Children",23.5,3,16.1,"o1c","Gareth","","","","",9,0,15
"The Pirates Pact","Douglas R. Burgess, Jr.","NF","History, Sailing",23.5,2.6,16.1,"f2e","Fields","","","","",9,0,16
"How Sailboats Win or Lose Races","William Allen Smith","NF","Sailing",23.5,3.2,16,"f2d","Fields","","","","",9,0,17
"Beyond the Barrier","Eugene Rodgers","NF","History",23.5,3.1,16,"o1c","Gareth","","","","",9,0,18
"The Lost Men","Kelly Tyler Lewis","NF","Sailing, History",23.5,3,16,"o4d","Schipper Estate","","","","",9,0,19
"Sensible Cruising: The Thoreau Approach","Don Casey and Lew Hackler","NF","Sailing",23.5,2.8,15.8,"o4d","Schipper Estate","","","","",9,0,20
"English","Houghton Mifflin","NF","English",23.5,2.5,15.8,"o4e","Schipper Estate","","","","",9,0,21
"A Brief History of Time","Stephen W. Hawking","NF","Astronomy",23.5,1.9,15.8,"f2e","Fields","","","","",9,0,22
"The AWK Programming Language","Alfred V. Aho, Brian W. Kernighan, and Peter J. Weinberger","NF","Computer Science",23.3,1.1,15.7,"o1e","Fields","","","","",9,0,23
"An Introduction to Discrete Systems","Kenneth Steiglitz","NF","Mathematics",23.5,2.1,15.6,"o1f","Fields","","","","",9,0,24
"Preparing and Presenting a Speech","Irwin and Rosenberger","NF","Rhetoric",23.5,0.8,15.6,"o4c","Schipper Estate","","","","",9,0,25
"Jonathan Livingston Seagull","Richard Bach","F","Fiction",23,1.4,20.6,"o4c","Schipper Estate","","","","",9,1,0
"A Culture of Improvement","Robert Friedel","NF","Technology, Anthropology",22.9,2.9,20.2,"o1e","Gareth","","","","",9,1,1
"Gardening Wizardry for Kids","L. Patricia Kite","NF","Gardening, Children",23.2,1.6,19.2,"o5d","Schipper Estate","","","","",9,1,2
"Annuals For Dummies","Bill Marken","NF","Gardening",23.4,2.2,18.5,"f1a","Fields","075/076","👍","","",9,1,3
"Instant JavaScript","Brian K. Holman and Willian Lund","NF","Computer Science",23.3,3.1,17.8,"o1e","Fields","","","","",9,1,4
"Learning React Native","Bonnie Eisenman","NF","Computer Science",23,1.1,17.8,"o1e","Gareth","","","","",9,1,5
"The Bedford Researcher","Mike Palmquist","NF","Research",23,1.5,17.5,"o1b","Gareth","","","","",9,1,6
"The Country Innkeepers' Cookbook","Wilf Copping and Lois Copping","NF","Cooking",23,2.2,17,"o4d","Schipper Estate","","","","",9,1,7
"The Handbook of Sailing","Bob Bond","NF","Sailing",23.3,2.2,16.4,"o4d","Schipper Estate","","","","",9,1,8
"American Dolls In Uniform","Nina R. Jordan","NF","Art",22.9,2.9,16.3,"o4c","Schipper Estate","","","","",9,1,9
"Fare With A Flair","Zonta Club of Syracuse, New York","NF","Cooking",23,1,16.2,"o4d","Schipper Estate","","","","",9,1,10
"You Can Fool All of the People All the Time","Art Buchwald","F","General Nonfiction",23.4,3.1,16,"o4d","Schipper Estate","","","","",9,1,11
"Land's End Water's Edge: Lon Island Sound","Joseph Howard Cooper","NF","Sailing, History",23.4,2.8,16,"f2e","Fields","","","","",9,1,12
"Bernt Balchen: Polar Aviator","Carroll V. Glines","NF","Biography",23.3,3.1,16,"o1c","Gareth","","","","",9,1,13
"Bernt Balchen, Polar Aviator","Carroll V. Glines","NF","Biography",23.2,2.8,16,"o4d","Schipper Estate","","","","",9,1,14
"Mad Old German Book","Germans, Presumably","?","German Concerns",23,5.2,16,"f2a","Schipper Estate","","","","",9,1,15
"Programming in PASCAL","Peter Grogono","NF","Computer Science",23.3,1.7,15.8,"o1e","Fields","","","","",9,1,16
"Wicked","Gregory Maguire","F","Fiction",23.4,3.2,15.4,"b1b","Gareth","","","","",9,1,17
"Song for the Blue Ocean","Carl Safina","NF","Natural History",23.3,3.2,15.3,"o4e","Schipper Estate","","","","",9,1,18
"The Holy Bible","New Scofield Reference Edition","F","Religious",23.2,3.1,15.3,"o5c","Schipper Estate","","","","",9,1,19
"Building the Herreshoff Dinghy","Barry Thomas","NF","Sailing",22.8,0.4,15.2,"o4c","Schipper Estate","","","","",9,1,20
"The Mousehole Cat","Anonia Barber and Nicola Bayley","F","Children",23.3,1,23.4,"f2d","Fields","","","","",13,0,0
"Twelve Days of Christmas","Sophie Windham","F","Religious",22.8,1.1,23,"o1d","Schipper Estate","","","","",13,0,1
"Laguna Heritage Cookbook","Assistance League of Laguna Beach","NF","Cooking",22.8,5,19,"o4e","Schipper Estate","","","","",13,0,2
"The Giving Tree","Shel Silversteil","F","Children",22.9,1.2,18.5,"o5d","Schipper Estate","","","","",13,0,3
"The Making of The African Queen","Katherine Hepburn","NF","Film and Media, History",22.9,0.9,18.2,"o4b","Schipper Estate","","","","",13,0,4
"The Little Prince","Antoine De Saint-Exupéry","F","Children",22.8,1.3,18.2,"o1d","Schipper Estate","","","","",13,0,5
"Visual Modeling with Rational Rose and UML","Terry Quatrani","NF","Computer Science",22.8,1.6,17.9,"o1e","Fields","","","","",13,0,6
"The Mostek 1981 Z80 Microcomputer Data Book","Mostek Corporation","NF","Computer Science",22.8,2.1,17.8,"o1e","Fields","","","","",13,0,7
"The Language of New Media","Lev Manovich","NF","Film and Media",22.8,1.8,17.5,"o1b","Gareth","","","","",13,0,8
"The Cook's Encyclopedia of Chicken","Linda Fraser","NF","Cooking",22.8,1.7,17.3,"o4d","Schipper Estate","","","","",13,0,9
"Fastnet, Force 10","John Rousmaniere","NF","Sailing",22.8,1.8,15.4,"o4e","Schipper Estate","","","","",13,0,10
"Forever, Erma","Erma Bombeck","NF","Humor",22.9,2,15.3,"o5c","Schipper Estate","","","","",13,0,11
"Language, Culture, and Society","Zdenek Salzmann","NF","Linguistic Anthropology",22.8,3,15.2,"o1b","Gareth","","","","",13,0,12
"Understanding The Racing Rules of Sailing Through 2012","Dave Perry","NF","Sailing",22.8,2.3,15.2,"f2d","Fields","","","","",13,0,13
"The Wit and Wisdom of Terry Pratchett","Stephen Briggs","F","Fiction",22.8,2.9,15.1,"b1b","Gareth","","","","",13,0,14
"The Small Boat Skipper and His Problems","Eugene V. Connett, 3rd","NF","Sailing",22.8,1.9,15,"o4c","Schipper Estate","","","","",13,0,15
"A Student Guide to Writing at UC Irvine","Lynda Haas","NF","Writing",22.8,1.6,15,"o1b","Gareth","","","","",13,0,16
"The Little Black Book of Design","Adam Judge","NF","Design",22.8,1.5,15,"o1b","Gareth","","","","",13,0,17
"The 12-Volt Bible For Boats","Miner Brotherton","NF","Sailing",22.8,1.4,14.8,"o4c","Schipper Estate","","","","",13,0,18
"Wildflowers of Northeastern/Northcentral North America","Roger Tory Peterson and Margaret McKenny","NF","Gardening",18.3,2.2,11.3,"f1a","Fields","069/070","👍","","",13,1,0
"A Field Guide to Trees and Shrubs","George A Petrides","NF","Gardening",18.2,2.7,11.2,"f1a","Fields","067/068","👍","","",13,1,1
"Uses and Abuses of Psychology","H. J. Eysenck","NF","Psychology",18,1.8,11,"f2d","Fields","","","","",13,1,2
"Dune","Frank Herbert","F","Fiction",19,5.1,10.7,"b1b","Gareth","","","","",13,1,3
"The Country of the Pointed Firs and Other Stories","Sarah Orne Jewett","F","Fiction",18,1.8,10.7,"o5b","Schipper Estate","","","","",13,1,4
"Hans Brinker, or The Silver Skates","Mary Mapes Dodge","F","Fiction",17.9,2.4,10.7,"o4a","Schipper Estate","","","","",13,1,5
"A Collection of Essays by George Orwell","George Orwell","F","Fiction",18,1.6,10.6,"o5c","Schipper Estate","","","","",13,1,6
"The Gold of Friendship (1)","Gail Mahan Peterson","F","Poetry",15.8,0.8,10.4,"o5b","Schipper Estate","","","","",13,1,7
"Webster's New World Pocket Spanish Dictionary","Webster's","NF","Spanish",14.5,1.6,9.1,"o1b","Fields","","","","",13,1,8
"The Story of a Hundred Operas","Felix Mendelsohn","NF","Music",13,2.1,9.1,"o5a","Schipper Estate","","","","",13,1,9
"The Night Before Christmas in California","Catherine Smith","F","Poetry",12.2,1,9,"o4a","Schipper Estate","","","","",13,1,10
"Springs of Friendship","Byron, Camus, Dostoevski, Kierkegaard, Tagore, and Wilde","F","Poetry",12.2,0.9,8.7,"o5a","Schipper Estate","","","","",13,1,11
"The Holy Bible, in German","God, Presumably","F","Religious",13,2.2,8.5,"f2a","Schipper Estate","","","","",13,1,12
"[German, 1859]","TODO","NF","General Nonfiction",12.7,1.6,8,"o5a","Schipper Estate","","","","",13,1,13
"The Craft of Sail","Jan Adkins","NF","Sailing",22.9,1.1,28.3,"o5g","Schipper Estate","","","","",35,0,0
"Drawing Home Plans","June Curran","NF","Architecture",22,1.9,28.2,"o4f","Schipper Estate","","","","",35,0,1
"New Complete Do-It-Yourself Manual","Reader's Digest","NF","General Nonfiction",21.8,3,27.8,"o4c","Schipper Estate","","","","",35,0,2
"Lobster Lady","Vivian Volovar","F","Children",21.3,0.3,27.8,"f1a","Fields","105/106","👍","","",35,0,3
"Cloudy With a Chance of Meatballs","Judi Barrett","F","Children",21.5,0.3,23.6,"o5f","Schipper Estate","","","","",35,0,4
"Centerport","Harvey A Weber","NF","History",22.8,0.9,23,"f1b","Fields","","","","",35,0,5
"The New Yorker Book of Kids* Cartoons","The New Yorker","F","Humor",22.2,1.6,21.2,"o5f","Schipper Estate","","","","",35,0,6
"A New england Sampler Cookbook","The Massachusetts Nurses Foundation, Inc.","NF","Cooking",22.3,1.1,19,"o4d","Schipper Estate","","","","",35,0,7
"MAdeline and the Bad Hat","Ludwig Bemelans","F","Children",22.6,0.5,18,"o1d","Schipper Estate","","","","",35,0,8
"Prayer For A Child","Rachel Field","F","Children",22,0.5,18,"o5f","Schipper Estate","","","","",35,0,9
"The Tooth Witch","Nurit Karlin","F","Children",22.8,0.3,17.4,"o1d","Schipper Estate","","","","",35,0,10
"1969 Decisions of the Appeals Committee","NAYRU","NF","Sailing",22,4,17,"f2e","Fields","","","","",35,0,11
"The Secret Garden (2)","Frances Hodgsen Burnett","F","Fiction",22.1,2.4,16.7,"o5c","Schipper Estate","","","","",35,0,12
"The Secret Garden (1)","Frances Hodgsen Burnett","F","Fiction",22.1,2.3,16.7,"o4b","Schipper Estate","","","","",35,0,13
"Our Baby's Record","TODO","NF","Parenting",22.4,0.9,16.5,"o1d","Schipper Estate","","","","",35,0,14
"Dave Perry's 1 - Best Racing Rules Quizzes","Dave Perry","NF","Sailing",22.8,1.1,15.2,"f2d","Fields","","","","",35,0,15
"The New Book of Sail Trim","Ken Textor","NF","Sailing",22.6,1.6,15.2,"o4c","Schipper Estate","","","","",35,0,16
"Interviewing","Annette Garrett","NF","Interviewing",22.8,0.8,15.1,"o1b","Schipper Estate","","","","",35,0,17
"Antimatter: The Ultimate Mirror","Gordon Fraser","NF","Astronomy",22.8,1.1,15,"f2e","Fields","","","","",35,0,18
"Distributed Object Technology","Timothy W. Ryan","NF","Computer Science",22.7,1.5,15,"o1e","Fields","","","","",35,0,19
"The Oxford Book of American Literary Anecdotes","Donald Hall","F","Fiction",22,3.3,15,"f1b","Fields","","","","",35,0,20
"I Never Danced at the White House","Art Buchwald","NF","History",21.8,3.2,15,"o4b","Schipper Estate","","","","",35,0,21
"I Never Danced at the White House","Art Buchwald","NF","History",21.8,3.2,15,"o4b","Schipper Estate","","","","",35,0,22
"Hitch Your Wagon","Clayton Knight and Robert C. Durham","NF","Biography",21.8,3.8,14.9,"o4b","Schipper Estate","","","","",35,0,23
"The Citadel","A. J. Cronin","F","Fiction",21.8,3.1,14.9,"o5d","Schipper Estate","","","","",35,0,24
"The Heart of O. Henry","Dale Kramer","F","Fiction",21.8,2.9,14.9,"o5d","Schipper Estate","","","","",35,0,25
"Noël: Christmas in France","R. de Roussey de Sales","NF","French",22.8,0.9,14.8,"o1d","Schipper Estate","","","","",35,0,26
"A Noble Landmark of New York","The Fifth Avenue Presbyterian Church","NF","History",22,2,14.6,"o4b","Schipper Estate","","","","",35,0,27
"Listen For A Lonely Drum","Carl Carmer","F","Fiction",21.8,3.5,14.6,"o5d","Schipper Estate","","","","",35,0,28
"The Happiest of Men","E. E. Fearon","F","Fiction",22.2,2.6,14.5,"o4b","Schipper Estate","","","","",35,0,29
"Sheep in a Shop","Nancy Shaw","F","Children",20.2,0.3,20.5,"o5e","Schipper Estate","","","","",35,1,0
"Green Kitchen Smoothies","David Frenkiel and Luise Vindahl","NF","Cooking",21.5,1.9,16.7,"o3a","Gareth","","","","",35,1,1
"The Bedside Tales","Peter Arno","F","Fiction",21.7,3,15.2,"o4b","Schipper Estate","","","","",35,1,2
"Joseph and The Goat","Reese Alsop","F","Children",21.2,0.3,15.2,"o5e","Schipper Estate","","","","",35,1,3
"The Amber Spyglass","Philip Pullman","F","Fiction",21.5,4,15,"b1c","Gareth","","","","",35,1,4
"Today We Die A Little!","Richard Askwith","NF","Running, Biography",21.4,4.1,15,"o1b","Gareth","","","","",35,1,5
"The Autobiography of Santa Claus","Jeff Guinn","F","Fiction",21.8,2.5,14.9,"o1d","Schipper Estate","","","","",35,1,6
"The Code of Trust","Robin Dreeke","NF","Self Help",21.7,3.1,14.8,"o1b","Gareth","","","","",35,1,7
"Nanaville","Anna Quindlen","NF","Memior",21.7,2,14.8,"o5f","Schipper Estate","","","","",35,1,8
"The Final Adventures of Sherlock Holmes","Sir Arthur Conan Doyle","F","Fiction",21.7,2,14.8,"b1b","Gareth","","","","",35,1,9
"The Methodist Hymnal","The Methodists, Presumably","F","Music, Religious",21.5,3.3,14.8,"f2a","Schipper Estate","","","","",35,1,10
"With A Jug Wine","Morrison Wood","NF","Cooking",21.4,3.5,14.8,"o4e","Schipper Estate","","","","",35,1,11
"Halowe'en Party","Agatha Christie","F","Fiction",21.4,2.6,14.8,"o4c","Schipper Estate","","","","",35,1,12
"A Tree Grows in Brooklyn","Betty Smith","F","Fiction",21.3,3.6,14.8,"o5c","Schipper Estate","","","","",35,1,13
"Please Don't Eat the Daisies","Jean Kerr","F","Fiction",21.8,2,14.7,"o4b","Schipper Estate","","","","",35,1,14
"To Kill A Mockingbird","Harper Lee","F","Fiction",21.6,2.1,14.7,"o5d","Schipper Estate","","","","",35,1,15
"Love Is Eternal","Irvine Stone","F","Fiction",21.5,3.4,14.7,"o4b","Schipper Estate","","","","",35,1,16
"The First Transatlantic Cable","Adele Gutman Nathan","NF","History",21.5,2.2,14.5,"f1b","Fields","","","","",35,1,17
"Please Don't Eat the Daisies","Jean Kerr","F","Fiction",21.4,1.8,14.2,"o4b","Schipper Estate","","","","",35,1,18
"Winning in One Designs","Dave Perry","NF","Sailing",21.4,1.8,14,"f2d","Fields","","","","",35,1,19
"Manchild in the Promised Land","Claude Brown","NF","Autobiography",17.9,2.2,10.8,"o4a","Schipper Estate","","","","",35,1,20
"Hamlet","William Shakespeare","F","Fiction",17.9,1.8,10.7,"o4a","Schipper Estate","","","","",35,1,21
"The Grass is Always Greener Over the Septic Tank","Erma Bombeck","F","Fiction",17.8,1.8,10.7,"o4b","Schipper Estate","","","","",35,1,22
"Sea Fever","John Masefield","F","Poetry",15.2,0.5,10.7,"o4a","Schipper Estate","","","","",35,1,23
"The Magic Schoolbus At The Water Works (2)","Cole and Degan","F","Fiction",19.3,0.3,22.9,"b1c","Gareth","","","","",16,0,0
"Huntington Babylon Town History","Romanah Sammis","NF","History",21,3.2,19.5,"f2e","Fields","","","","",16,0,1
"Writing From A-Z","Sally Barr Ebest, Gerald J. Alred, Charles T. Brusaw, and Walter E. Oliu","NF","Writing",21.3,2.3,16,"o1b","Gareth","","","","",16,0,2
"The Valley of Decision","Marcia Davenport","F","Fiction",21.3,2.6,14.9,"o5f","Schipper Estate","","","","",16,0,3
"The Witch of Blackbird Pon","Elizabeth George Speare","F","Fiction",21.1,2.2,14.9,"o4b","Schipper Estate","","","","",16,0,4
"Poe's Masterpieces of Mystery","Edgar Allan Poe","F","Fiction",21.1,3.2,14.7,"o4b","Schipper Estate","","","","",16,0,5
"Uh-Oh","Robert Fulghum","NF","General Nonfiction",21.3,2,14.5,"o5c","Schipper Estate","","","","",16,0,6
"Everything But Money","Sam Levenson","NF","Autobiography",21.2,2.5,14.3,"o5c","Schipper Estate","","","","",16,0,7
"Grit","Angela Duckworth","NF","Self Help",21.1,2.1,14,"o1b","Gareth","","","","",16,0,8
"How to Improve Your Home with Landscaping","Barbara Baer","NF","Gardening",21.1,0.8,14,"o5d","Schipper Estate","","","","",16,0,9
"Originals","Adam Grant","NF","Sociology",21.2,2.1,13.9,"o1b","Gareth","","","","",16,0,10
"Bursts","Albert-László Barabási","NF","General Nonfiction",21.2,2,13.9,"o1b","Gareth","","","","",16,0,11
"Tin Princess","Philip Pullman","F","Children",17.6,2.1,10.5,"o1c","Gareth","","","","",16,1,0
"Silver on the Tree","Susan Cooper","F","Fiction",17.6,2,10.5,"b1c","Gareth","","","","",16,1,1
"I Know Why the Caged Bird Sings","Maya Angelou","NF","Autobiography",17.8,1.8,10.4,"o5b","Schipper Estate","","","","",16,1,2
"The Story of My Life","Hellen Keller","NF","Autobiography",17,1,10.4,"o5c","Schipper Estate","","","","",16,1,3
"Christian Worker's New Testament","J. Gilchrist Lawson","F","Religious",12.5,1.2,9.8,"o5a","Schipper Estate","","","","",16,1,4
"Sheep on a Ship (1)","Nancy Shaw","F","Children",21,1,22,"f1a","Fields","7926/7927","👍","","",27,0,0
"Sheep on a Ship (2)","Nancy Shaw","F","Children",21,1,21.5,"o5e","Schipper Estate","","","","",27,0,1
"The Elements of Color","Johnannes Itten","NF","Art",20.9,1.4,21,"o1b","Schipper Estate","","","","",27,0,2
"The Secret Garden Notebook, A First Gardening Book","Graham Rust","NF","Gardening",21,1,17.7,"o5d","Schipper Estate","","","","",27,0,3
"The Carrot Seed (3)","Ruth Krauss","F","Fiction",21,0.9,16,"b1c","Gareth","","","","",27,0,4
"The Carrot Seed (1)","Ruth Krauss","F","Children",21,0.8,16,"f1a","Fields","107/108","👍","","",27,0,5
"The Big Oyster","Mark Kurlansky","NF","History",21,3,15,"f2e","Fields","","","","",27,0,6
"25th Reunion","David Camerer","F","Fiction",20.9,2.4,14.4,"o4b","Schipper Estate","","","","",27,0,7
"The Practical Stylist","Sheridan Baker","NF","Writing",21,1.4,14.3,"o4c","Schipper Estate","","","","",27,0,8
"The Pleasure Was All Mine","Fred Schwed, Jr.","NF","Autobiography",20.9,2.8,14.3,"o5e","Schipper Estate","","","","",27,0,9
"The Wounded Tennis Player","Morton Thompson","F","Fiction",20.9,2.8,14.3,"o5e","Schipper Estate","","","","",27,0,10
"The Extra Mile","Pam Reed","NF","Running, Biography",21,2,14,"o1b","Gareth","","","","",27,0,11
"A Treasury of the World's Best Loved Poems","Poets, hypothetically","F","Poetry",20.9,1.9,14,"o4c","Schipper Estate","","","","",27,0,12
"Star Wars: A New Hope, The National Public Radio Dramatization","Brian Daly","F","Fiction",21,2.2,13.9,"b1b","Gareth","","","","",27,0,13
"Home Painting, Wallpapering, and Decorating","A Wise Book","NF","General Nonfiction",21,2,13.8,"o4b","Schipper Estate","","","","",27,0,14
"The Art of Adaptation","Linda Seger","NF","Film and Media",21,1.8,13.8,"o1b","Gareth","","","","",27,0,15
"Stack of small books and papers","Unknown","?","?",21,2,13,"f2a","Schipper Estate","","","","",27,0,16
"The Story of The White House","Kate Waters","NF","History",21,1,28,"o5d","Schipper Estate","","","","",51,0,0
"Old Barn Plans","Richard Rawson","NF","Architecture",21,1.1,27.5,"o4f","Schipper Estate","","","","",51,0,1
"The Callirgaphy Book","Peter Grislis","NF","Writing",20.9,0.6,24.5,"o5c","Schipper Estate","","","","",51,0,2
"A Is For Apple","Georgie Birkett","NF","Children",20.9,1.7,14.8,"o5b","Schipper Estate","","","","",51,0,3
"Tomorrow Will Be Better","Betty Smith","F","Fiction",20.8,2.5,14.7,"o4b","Schipper Estate","","","","",51,0,4
"How Green Was My Valley","Richard Llewellyn","F","Fiction",20.8,3,14.5,"o5f","Schipper Estate","","","","",51,0,5
"Bicycling Science: Ergonomics and Mechanics","Frank Rowland Whitt and David Gordon Wilson","NF","Technology",20.8,2.2,14.4,"o1e","Gareth","","","","",51,0,6
"The Greengage Summer","Rumer Godden","F","Fiction",20.8,2.3,14.3,"o5d","Schipper Estate","","","","",51,0,7
"The Seventh Cross","Anna Seghers","F","Fiction",20.8,3.3,14.2,"o5f","Schipper Estate","","","","",51,0,8
"Now I Lay Me Down To sleep","Bemelmans","F","Fiction",20.8,2.3,14.2,"o5d","Schipper Estate","","","","",51,0,9
"The Outline of History","H. G. Wells","NF","History",20.8,4,14.1,"o4c","Schipper Estate","","","","",51,0,10
"Rubáiyát of Omar Khayyám","Omar Khayyám","F","Poetry",20.9,1.2,14,"o4c","Schipper Estate","","","","",51,0,11
"Selections from Leaves of Grass by Walt Whitman","Walt Whitman","F","Poetry",20.9,1.2,14,"o4c","Schipper Estate","","","","",51,0,12
"Andersen's Fairy Tales","Andersen","F","Children",20.8,2.8,14,"o5e","Schipper Estate","","","","",51,0,13
"The Berlitz Self-Teacher: French","Grosset and Dunlap","NF","French",20.8,2.2,14,"o5d","Schipper Estate","","","","",51,0,14
"The Checklist Manifesto","Atul Gawande","NF","General Nonfiction",20.9,1.8,13.9,"o1b","Gareth","","","","",51,0,15
"Fight Club","Chuck Palahniuk","F","Fiction",20.9,1.6,13.8,"b1b","Gareth","","","","",51,0,16
"Thinking, Fast and Slow","Daniel Kahneman","NF","General Nonfiction",20.8,3.4,13.7,"o3d","Gareth","","","","",51,0,17
"An Introduction to Poetry","X. J. Kennedy","F","Poetry",20.8,2.2,13.2,"o4c","Schipper Estate","","","","",51,0,18
"Operation Sail, 1976","Intercom Interrelated Communications Group 1976","NF","History, Sailing",20.5,0.4,25.3,"o5g","Schipper Estate","","","","",51,1,0
"Georget Washington's Cows","David Small","F","Children",20.3,0.3,25.2,"o5d","Schipper Estate","","","","",51,1,1
"Theodore Roosevelt's Letters to His Children","Theodore Roosevelt","NF","History",20.6,3,16,"o5d","Schipper Estate","","","","",51,1,2
"Listening to the Littlest","Ruth Reardon","NF","General Nonfiction",20.8,1,15.5,"o4a","Schipper Estate","","","","",51,1,3
"Europe in the Age of Louis XIV","Ragnhild Hatton","NF","History",20.8,1.8,14.7,"o4b","Schipper Estate","","","","",51,1,4
"The Adventures of Tom Sawyer","Mark Twain","F","Fiction",20.5,2.8,14.3,"o4b","Schipper Estate","","","","",51,1,5
"Sonnets From The Portugese (1)","The Portugese","F","Poetry",20.8,1.1,14,"o4c","Schipper Estate","","","","",51,1,6
"Sonnets From The Portugese (2)","The Portugese","F","Poetry",20.8,1.1,14,"o4c","Schipper Estate","","","","",51,1,7
"The Procession","Kahlil Gibran","F","Fiction",20.7,1.1,14,"o4c","Schipper Estate","","","","",51,1,8
"Charlotte's Web","E. B. White","F","Children",20.5,1.5,14,"o5f","Schipper Estate","","","","",51,1,9
"What I Know Now","Ellyn Spragins","NF","Self Help",20.8,2,13.8,"o4a","Schipper Estate","","","","",51,1,10
"Cheap Amusements","Kathy Peiss","NF","History",20.8,1.6,13.8,"o4b","Schipper Estate","","","","",51,1,11
"Webster's Daily Use Dictionary","Webster","NF","Reference",20.3,4.7,13.7,"o5d","Schipper Estate","","","","",51,1,12
"Tennis and the Meaning of Life","Jay Jennings","NF","Self Help",20.4,2.7,13.6,"o4a","Schipper Estate","","","","",51,1,13
"The Cool Impossible","Eric Orton","NF","Running",20.8,1.5,13.5,"o1d","Gareth","","","","",51,1,14
"For Whom the Bell Tolls","Ernest Hemingway","F","Fiction",20.4,2.8,13.3,"b1b","Gareth","","","","",51,1,15
"The Year of Magical Thinking","Joan Didion","NF","Self Help",20.6,2.3,13.2,"o4a","Schipper Estate","","","","",51,1,16
"I Used To Know That","Caroline Taggart","NF","General Nonfiction",20.5,1.5,13.2,"o5e","Schipper Estate","","","","",51,1,17
"Crashing Through","Robert Kurson","NF","Biography",20.3,1.8,13.1,"o4b","Schipper Estate","","","","",51,1,18
"The Subtle Knife","Philip Pullman","F","Fiction",20.4,3.3,13,"b1c","Gareth","","","","",51,1,19
"My Life and Hard Times","James Thurber","NF","Autobiography",17.7,1.2,10.8,"o4a","Schipper Estate","","","","",51,1,20
"The Gold of Friendship (2)","Gail Mahan Peterson","F","Poetry",15.8,0.8,10.4,"o5b","Schipper Estate","","","","",51,1,21
"The Magic Schoolbus Inside The Earth","Cole and Degan","F","Fiction",19.2,0.3,22.9,"b1c","Gareth","","","","",15,0,0
"Desiderata: Words For Life","Max Ehrmann","F","Self-help",20.2,0.8,20.7,"o5e","Schipper Estate","","","","",15,0,1
"Sailing: The Fine Art of Getting Wet and Becoming Ill While Slowly Going Nowhere at Great Expense","Henry Beard & Roy McKie","F","Humor",20.2,1,20.4,"f1b","Fields","","","","",15,0,2
"Mrs. Witty's Monster Cookies","Helen Witty","NF","Cooking",20.2,0.9,20.2,"o4d","Schipper Estate","","","","",15,0,3
"Gardening, A Dictionary for Weedpullers, Slugcrushers & Backyard Botanists","Henry Beard and Roy McKie","F","Gardening, Humor",20.2,0.9,20,"o5d","Schipper Estate","","","","",15,0,4
